,Network,User,Date,Text,Positive,Neutral,Negative,Compound
148,@FoxNews,TheTermaNaida,Mon Sep 03 16:35:11 +0000 2018,RT @Acosta: My dad worked in grocery stores for 40 years. I don’t understand @FoxNews is there something shameful about hard work? I’m prou…,0.0,0.82,0.18,-0.5574
149,@FoxNews,Larry Langley,Mon Sep 03 16:35:10 +0000 2018,@FoxNews I’m gonna start a go fund me page . To buy the failing New York Times and the failed CNN . https://t.co/XjHhrIeYG6,0.0,0.732,0.268,-0.765
150,@FoxNews,Christian,Mon Sep 03 16:35:10 +0000 2018,RT @FoxNews: .@SebGorka: “The elections of 2016 are what I call the revenge of common sense.” @foxandfriends https://t.co/AGQlzl4RkP,0.0,0.825,0.175,-0.5267
151,@FoxNews,Jeanette Kostic,Mon Sep 03 16:35:10 +0000 2018,@FoxNews @realDonaldTrump YES,0.632,0.368,0.0,0.5319
152,@FoxNews,Sissie,Mon Sep 03 16:35:10 +0000 2018,"RT @FoxNews: After losing his father in the line of duty, dozens of police officers showed up to support this kindergartner on his first da…",0.095,0.813,0.092,0.0258
153,@FoxNews,راضي,Mon Sep 03 16:35:09 +0000 2018,RT @djkingassassin: Purchases from @Amazon @Apple computer order destroys inner-city Pastors life. https://t.co/vo7wEQsAp6 #GovernmentSpywa…,0.0,0.783,0.217,-0.5574
154,@FoxNews,MC Lewis,Mon Sep 03 16:35:09 +0000 2018,"RT @FoxNews: George Rodriguez on @FoxFriendsFirst: ""I would wish that the Democrats have the guts to stand and defend our nation."" https://…",0.114,0.886,0.0,0.4019
155,@FoxNews,Harold Scott,Mon Sep 03 16:35:08 +0000 2018,"@FoxNews @AmericaNewsroom If it wasn't these papers it would something else, all these democrats does is whine , wh… https://t.co/L09XC1Vn9U",0.0,0.878,0.122,-0.3612
156,@FoxNews,❌Cindy 🌵🇺🇸❌,Mon Sep 03 16:35:08 +0000 2018,"RT @GovMikeHuckabee: I was going to stay up late to knit a sweater for winter, but need to sleep to be ready for @foxandfriends on @FoxNews…",0.124,0.876,0.0,0.5023
157,@FoxNews,Kathy Rossi,Mon Sep 03 16:35:07 +0000 2018,"@Tsunamirising @FoxNews Trump is t the criminal here, I think you meant Hilary and Obama and all their crew. Trump… https://t.co/BHl9GvYKG3",0.0,0.841,0.159,-0.5267
158,@FoxNews,Marv Pete,Mon Sep 03 16:35:06 +0000 2018,JUAN is a #FakeReporter = LIAR = SPINNER = DYSFUNCTIONAL #DIMDEM Who thinks he knows what others are thinking.  He'… https://t.co/fBKLmJE0BR,0.0,0.799,0.201,-0.6166
159,@FoxNews,Barbara Clayton,Mon Sep 03 16:35:06 +0000 2018,RT @joesegal: @FoxNews @nebrgenius The people at Trader Joes are among the nicest most down to Earth caring people I've ever met in any tow…,0.218,0.782,0.0,0.7506
160,@FoxNews,Patti,Mon Sep 03 16:35:06 +0000 2018,RT @WeSupport45: @GoldStuart @M2Madness @LindseyGrahamSC @HumaAbedin @realDonaldTrump @VP @DonaldJTrumpJr @Scavino45 @PressSec @C_3C_3 @Tho…,0.0,1.0,0.0,0.0
161,@FoxNews,RevJustinSoutherland,Mon Sep 03 16:35:05 +0000 2018,"@mygodisreason @gotovincestead @FoxNews -.-' did you really have to do the ""sky daddy"" bit at the end?",0.0,1.0,0.0,0.0
162,@FoxNews,小敏,Mon Sep 03 16:35:04 +0000 2018,RT @FoxNews: Balloon of London mayor wearing yellow bikini to fly over city in response to 'Trump baby' blimp https://t.co/UUx4pLdvUu,0.0,1.0,0.0,0.0
163,@FoxNews,Carol Ward,Mon Sep 03 16:35:03 +0000 2018,@chuckhasty @FoxNews @LucasFoxNews Absolutely. After all you have a right to say something like that since Trump ch… https://t.co/rVmRJbtyit,0.128,0.872,0.0,0.3612
164,@FoxNews,Kay Malburg,Mon Sep 03 16:35:03 +0000 2018,RT @wordsmithviv: Mollie Tibbett's dad told @DonaldJTrumpJr to STOP using her death to spew the kind of racist views she opposed. The famil…,0.0,0.643,0.357,-0.9027
165,@FoxNews,ivan brown,Mon Sep 03 16:35:01 +0000 2018,RT @FoxNews: Do you agree with President @realDonaldTrump? https://t.co/G8gw6XEDm4,0.238,0.762,0.0,0.3612
166,@FoxNews,Daniel Perales,Mon Sep 03 16:35:00 +0000 2018,@LifeLibertyGuns @Dr_Covfefe_PhD @FoxNews Go Fuck yourself my people have been here long before you fuck's came ove… https://t.co/G9hN0DEe1X,0.0,0.829,0.171,-0.5423
167,@FoxNews,Jack Stallings,Mon Sep 03 16:34:59 +0000 2018,RT @Acosta: My dad worked in grocery stores for 40 years. I don’t understand @FoxNews is there something shameful about hard work? I’m prou…,0.0,0.82,0.18,-0.5574
168,@FoxNews,beverly smith,Mon Sep 03 16:34:57 +0000 2018,@FoxNews Never said a word against Obama but openly criticizes Trump...snake,0.0,0.744,0.256,-0.4767
169,@FoxNews,Billie Sue McCue,Mon Sep 03 16:34:57 +0000 2018,"RT @FoxNews: John McCain was laid to rest today in Annapolis, Maryland. https://t.co/aHGpfjidbm",0.0,1.0,0.0,0.0
